,vacancy,extraversion,neuroticism,agreeableness,conscientiousness,openness
0,Software Engineer,0.34,0.33,0.09,0.59,0.47
1,Data Scientist,0.13,0.25,0.46,0.53,0.16
2,Product Manager,0.05,0.59,0.94,0.91,0.67
3,Graphic Designer,0.3,0.68,0.27,0.82,0.51
4,Marketing Specialist,0.45,0.1,0.79,0.5,0.34
5,Sales Representative,0.62,0.8,0.95,0.29,0.89
6,HR Manager,0.91,0.63,0.94,0.25,0.87
7,Project Coordinator,0.06,0.55,0.05,0.47,0.56
8,DevOps Engineer,0.93,0.45,0.59,0.51,0.04
9,Business Analyst,0.54,0.7,0.14,0.9,0.35
10,Web Developer,0.07,0.31,0.71,0.4,0.33
11,Data Analyst,0.73,0.52,0.56,0.24,0.91
12,UIUX Designer,0.86,0.28,0.78,0.97,0.71
13,Network Administrator,0.72,0.45,0.51,0.26,0.76
14,System Architect,0.86,0.4,0.09,0.01,0.07
15,Mobile Developer,0.48,0.49,0.24,0.63,0.08
16,Content Writer,0.53,0.8,0.0,0.69,0.42
17,SEO Specialist,0.5,0.43,0.53,0.95,0.91
18,Database Administrator,0.11,0.45,0.23,0.31,0.61
19,Cloud Engineer,0.76,0.92,0.11,0.66,0.21
20,DevSecOps Engineer,0.27,0.58,0.73,0.63,0.26
21,IT Support Specialist,0.73,0.17,0.91,0.13,0.3
22,Digital Marketing Manager,0.63,0.89,0.14,0.46,0.29
23,FrontEnd Developer,0.08,0.4,0.09,0.24,0.75
24,BackEnd Developer,0.93,0.41,0.89,0.71,0.14
25,FullStack Developer,0.95,0.99,0.09,0.25,0.75
26,Machine Learning Engineer,0.63,0.04,0.83,0.61,0.27
27,Cybersecurity Analyst,0.32,0.08,0.56,0.12,0.26
28,Systems Analyst,0.84,0.34,0.29,0.68,0.09
29,Quality Assurance Tester,0.03,0.4,0.07,0.55,0.65
30,Game Developer,0.71,0.51,0.64,0.53,0.15
31,Research Scientist,0.73,0.2,0.16,0.02,0.75
32,Brand Manager,0.99,0.48,0.29,1.0,0.71
33,Social Media Manager,0.38,0.72,0.68,0.68,0.21
34,Ecommerce Specialist,0.46,0.43,0.36,0.49,0.3
35,User Researcher,0.8,0.46,0.24,0.36,0.33
36,Technical Writer,0.03,0.35,0.29,0.52,0.95
37,Event Coordinator,0.86,0.15,0.11,0.31,0.11
38,Copywriter,0.73,0.5,0.82,0.2,0.67
39,Video Producer,0.18,0.55,1.0,0.95,0.99
40,SEO Analyst,0.23,0.32,0.18,0.31,0.93
41,Data Engineer,0.19,0.11,0.5,0.87,0.32
42,Cloud Solutions Architect,0.31,0.99,0.38,0.29,0.84
43,Application Support Analyst,0.95,0.33,0.05,0.92,0.16
44,IT Project Manager,0.78,0.94,0.34,0.28,0.11
45,Business Development Executive,0.45,0.25,0.16,0.64,0.41
46,Financial Analyst,0.28,0.53,0.74,0.19,0.85
47,Compliance Officer,0.24,0.68,0.56,0.46,0.72
48,Operations Manager,0.49,0.23,0.69,0.19,0.91
49,Supply Chain Analyst,0.56,0.21,0.36,0.45,0.77
50,Product Designer,0.77,1.0,0.56,0.12,0.89
51,Sales Engineer,0.54,0.05,0.13,0.77,0.57
52,Risk Analyst,0.39,0.05,0.97,0.67,0.19
53,Market Research Analyst,0.39,0.02,0.39,0.72,0.56
54,Network Engineer,0.46,0.72,0.96,0.76,0.54
55,IT Consultant,0.28,0.64,0.82,0.99,0.54
56,Business Intelligence Analyst,0.82,0.94,0.16,0.49,0.57
57,Scrum Master,0.95,0.17,0.74,0.55,0.2
58,Agile Coach,0.88,0.65,0.48,0.88,0.67
59,Customer Success Manager,0.08,0.49,0.27,0.2,0.61
60,Account Executive,0.05,0.92,0.26,0.74,0.53
61,Payroll Specialist,0.47,0.16,0.64,0.92,0.58
62,Benefits Coordinator,0.77,0.25,0.06,0.5,0.02
63,Training Specialist,0.33,0.59,0.53,0.54,0.99
64,Talent Acquisition Specialist,0.1,0.68,0.36,0.43,0.26
65,Organizational Development Consultant,0.13,0.81,0.65,0.34,0.25
66,Public Relations Specialist,0.69,0.02,0.85,0.7,0.6
67,Corporate Communications Manager,0.62,0.41,0.45,0.67,0.09
68,Creative Director,0.7,0.29,0.07,0.44,0.73
69,Art Director,0.91,0.67,0.65,0.2,0.2
70,Fashion Designer,0.04,0.22,0.76,0.16,0.46
71,Interior Designer,0.15,0.41,0.33,0.55,0.17
72,Landscape Architect,0.58,0.91,0.28,0.85,0.46
73,Video Game Tester,0.63,0.6,0.99,0.68,0.19
